country,postal_code,municipality,latitude,longitude,population,year
swe,483,Katrineholm,58.9955511,16.2054756,34755,2019
swe,1261,Kävlinge,55.7939999,13.1104293,31705,2019
swe,1715,Kil,59.5036802,13.3170477,12087,2019
swe,513,Kinda,57.9975708,15.6852234,9940,2019
swe,2584,Kiruna,67.8557995,20.225282,22867,2019
swe,1276,Klippan,56.1348998,13.1290409,17756,2019
swe,330,Knivsta,59.7261195,17.7920363,18835,2019
swe,1983,Köping,59.5120962,15.9945102,26214,2019
swe,2282,Kramfors,62.9284332,17.7862946,18282,2019
swe,1290,Kristianstad,56.0293936,14.1566779,85747,2019
swe,1781,Kristinehamn,59.3100677,14.1089193,24255,2019
swe,2309,Krokom,63.3262424,14.4486543,14966,2019
swe,1881,Kumla,59.1265359,15.1401052,21738,2019
swe,1482,Kungälv,57.869754,11.9740317,46336,2019
swe,1384,Kungsbacka,57.4874919,12.0761928,84395,2019
swe,1960,Kungsör,59.422397,16.0977859,8675,2019
swe,1381,Laholm,56.5057557,13.0456048,25903,2019
swe,1282,Landskrona,55.8703477,12.8300802,46090,2019
swe,1860,Laxå,58.98269,14.62289,5683,2019
swe,1814,Lekeberg,59.1653904,14.7434069,8234,2019
swe,2029,Leksand,60.7303082,14.9998922,15807,2019
swe,1441,Lerum,57.7694839,12.2688196,42568,2019
swe,761,Lessebo,56.7512642,15.2700008,8733,2019
swe,186,Lidingö,59.36296,18.1468001,48123,2019
swe,1494,Lidköping,58.5035047,13.1570768,40089,2019
swe,1462,Lilla Edet,58.132158,12.1241336,14109,2019
swe,1885,Lindesberg,59.5976983,15.2229108,23588,2019
swe,580,Linköping,58.410807,15.6213728,163051,2019
swe,781,Ljungby,56.8338774,13.9410417,28521,2019
swe,2161,Ljusdal,61.8308392,16.0817502,18949,2019
swe,1864,Ljusnarsberg,59.9752934,14.8777794,4771,2019
swe,1262,Lomma,55.6731375,13.0674055,24834,2019
swe,2085,Ludvika,60.152358,15.1916391,26898,2019
swe,2580,Luleå,65.584819,22.1567026,78105,2019
swe,1281,Lund,55.7046601,13.1910073,124935,2019
swe,2481,Lycksele,64.5958098,18.6763669,12245,2019
swe,1484,Lysekil,58.275573,11.435558,14555,2019
swe,2418,Malå,65.238752,18.729258,3068,2019
swe,1280,Malmö,55.604981,13.003822,344166,2019
swe,2023,Malung-Sälen,60.9009256,13.3226181,10138,2019
swe,1493,Mariestad,58.7101119,13.8213327,24537,2019
swe,1463,Mark,57.4253176,12.5695216,34754,2019
swe,767,Markaryd,56.4617744,13.5962744,10320,2019
swe,1461,Mellerud,58.7025681,12.4518424,9310,2019
swe,586,Mjölby,58.3226908,15.1335348,27758,2019
swe,1481,Mölndal,57.65,12.0166669,69364,2019
swe,861,Mönsterås,57.0415797,16.4431199,13430,2019
swe,2062,Mora,61.004878,14.537003,20470,2019
swe,840,Mörbylånga,56.5237566,16.3869163,15249,2019
swe,583,Motala,58.5380335,15.0470936,43673,2019
swe,642,Mullsjö,57.9165989,13.8773175,7290,2019
