,country_code,postal_code,latitude,longitude,region_id
94,swe,11361,59.3393414,18.0471034,Norrmalm::Stockholm
95,swe,11362,59.3414715,18.0387054,Norrmalm::Stockholm
96,swe,11366,59.3476984,18.0357692,Norrmalm::Stockholm
97,swe,11380,59.3437656,18.0543973,Norrmalm::Stockholm
98,swe,11415,59.37283759999999,18.061371,Östermalm::Stockholm
99,swe,11416,59.37035950000001,18.0617843,Östermalm::Stockholm
100,swe,11417,59.37049219999999,18.067363,Östermalm::Stockholm
101,swe,11421,59.3523354,18.059014,Östermalm::Stockholm
102,swe,11423,59.3499042,18.0630045,Östermalm::Stockholm
103,swe,11424,59.3460413,18.0639973,Östermalm::Stockholm
104,swe,11425,59.3428511,18.0654899,Östermalm::Stockholm
105,swe,11426,59.3438229,18.0703998,Östermalm::Stockholm
106,swe,11427,59.34538079999999,18.0738136,Östermalm::Stockholm
107,swe,11428,59.35117519999999,18.0723261,Östermalm::Stockholm
108,swe,11430,59.3418453,18.0673186,Östermalm::Stockholm
109,swe,11431,59.34151799999999,18.0748051,Östermalm::Stockholm
110,swe,11432,59.3398337,18.0709753,Östermalm::Stockholm
111,swe,11433,59.34900210000001,18.0823079,Östermalm::Stockholm
112,swe,11435,59.33593089999999,18.0735471,Östermalm::Stockholm
113,swe,11436,59.33933369999999,18.0744683,Östermalm::Stockholm
114,swe,11437,59.340808,18.0784639,Östermalm::Stockholm
115,swe,11438,59.34064129999999,18.0796285,Östermalm::Stockholm
116,swe,11439,59.3356837,18.0778717,Östermalm::Stockholm
117,swe,11440,59.3389628,18.0809559,Östermalm::Stockholm
118,swe,11441,59.34186259999999,18.0827922,Östermalm::Stockholm
119,swe,11442,59.3361895,18.0795364,Östermalm::Stockholm
120,swe,11443,59.340141,18.0831215,Östermalm::Stockholm
121,swe,11444,59.33762059999999,18.0825338,Östermalm::Stockholm
122,swe,11445,59.3373704,18.0842802,Östermalm::Stockholm
123,swe,11446,59.3361436,18.0759594,Östermalm::Stockholm
124,swe,11447,59.3374698,18.0790396,Östermalm::Stockholm
125,swe,11448,59.33879330000001,18.0795414,Östermalm::Stockholm
