region	year	Population
1907 Surahammar	2019	10106
1960 Kungsör	2019	8675
1961 Hallstahammar	2019	16346
1962 Norberg	2019	5690
1980 Västerås	2019	154049
1981 Sala	2019	22894
1982 Fagersta	2019	13391
1983 Köping	2019	26214
1984 Arboga	2019	14087
2021 Vansbro	2019	6805
2023 Malung-Sälen	2019	10138
2026 Gagnef	2019	10304
2029 Leksand	2019	15807
2031 Rättvik	2019	10950
2034 Orsa	2019	6911
2039 Älvdalen	2019	7031
2061 Smedjebacken	2019	10894
2062 Mora	2019	20470
2080 Falun	2019	59406
2081 Borlänge	2019	52590
2082 Säter	2019	11093
2083 Hedemora	2019	15491
2084 Avesta	2019	23178
2085 Ludvika	2019	26898
2101 Ockelbo	2019	5908
2104 Hofors	2019	9588
2121 Ovanåker	2019	11670
2132 Nordanstig	2019	9477
2161 Ljusdal	2019	18949
2180 Gävle	2019	102418
2181 Sandviken	2019	39234
2182 Söderhamn	2019	25643
2183 Bollnäs	2019	26888
2184 Hudiksvall	2019	37607
2260 Ånge	2019	9316
2262 Timrå	2019	17979
2280 Härnösand	2019	25183
2281 Sundsvall	2019	99449
2282 Kramfors	2019	18282
2283 Sollefteå	2019	19140
2284 Örnsköldsvik	2019	55998
2303 Ragunda	2019	5284
2305 Bräcke	2019	6298
2309 Krokom	2019	14966
2313 Strömsund	2019	11605
2321 Åre	2019	11727
2326 Berg	2019	7061
2361 Härjedalen	2019	10090
2380 Östersund	2019	63779
2401 Nordmaling	2019	7143
2403 Bjurholm	2019	2408
2404 Vindeln	2019	5423
2409 Robertsfors	2019	6747
2417 Norsjö	2019	3986
2418 Malå	2019	3068
2421 Storuman	2019	5852
2422 Sorsele	2019	2489
2425 Dorotea	2019	2551
2460 Vännäs	2019	8872
2462 Vilhelmina	2019	6668
2463 Åsele	2019	2794
2480 Umeå	2019	128901
2481 Lycksele	2019	12245
2482 Skellefteå	2019	72589
2505 Arvidsjaur	2019	6220
2506 Arjeplog	2019	2785
2510 Jokkmokk	2019	4923
2513 Överkalix	2019	3315
2514 Kalix	2019	15886
2518 Övertorneå	2019	4299
2521 Pajala	2019	6052
2523 Gällivare	2019	17529
2560 Älvsbyn	2019	8066
2580 Luleå	2019	78105
2581 Piteå	2019	42281
2582 Boden	2019	28080
2583 Haparanda	2019	9685
2584 Kiruna	2019	22867
